system:index,B11,B12,B2,B3,B4,B8,ID,Latitude,Longitude,.geo
00000000000000001d35,1374.0,577.5,206.0,353.0,222.0,2206.5,B54C8I,-18.3017,48.6942,"{""type"":""Point"",""coordinates"":[48.69419860839844,-18.30170059204102]}"
00000000000000001d70,1381.5,627.5,230.5,445.5,233.0,2591.0,SSYZNB,-18.2751,48.7037,"{""type"":""Point"",""coordinates"":[48.7037010192871,-18.275100708007812]}"
00000000000000001d74,1097.5,469.0,201.5,306.5,195.0,2037.5,PW2UAA,-18.2743,48.7041,"{""type"":""Point"",""coordinates"":[48.7041015625,-18.27429962158203]}"
00000000000000001d66,1180.5,478.0,202.0,348.0,198.5,2622.0,ISSAPH,-18.277,48.705,"{""type"":""Point"",""coordinates"":[48.70500183105469,-18.277000427246094]}"
00000000000000001d49,1126.5,465.0,233.5,380.0,212.0,2790.0,OQWT20,-18.2963,48.706,"{""type"":""Point"",""coordinates"":[48.70600128173829,-18.296300888061523]}"
00000000000000001d51,1135.0,499.0,260.0,436.5,263.5,2509.0,WADSLZ,-18.2948,48.7069,"{""type"":""Point"",""coordinates"":[48.706901550292976,-18.2947998046875]}"
00000000000000001cf5,1064.0,441.0,248.5,387.5,245.5,2384.0,JL9FSV,-18.3403,48.7081,"{""type"":""Point"",""coordinates"":[48.70809936523438,-18.340299606323242]}"
00000000000000001d42,1254.0,526.0,205.5,382.5,207.5,2756.5,A4V2AQ,-18.2981,48.7082,"{""type"":""Point"",""coordinates"":[48.70819854736328,-18.29809951782227]}"
00000000000000001d00,1412.0,600.5,279.0,468.0,279.0,3001.0,XAYPMY,-18.3377,48.7087,"{""type"":""Point"",""coordinates"":[48.70869827270508,-18.33769989013672]}"
00000000000000001cfa,1348.0,594.0,246.5,451.5,261.0,2756.5,NIYCEQ,-18.3387,48.709,"{""type"":""Point"",""coordinates"":[48.70899963378906,-18.33869934082031]}"
00000000000000001d08,1168.5,489.5,215.0,348.0,210.0,2375.5,678WVC,-18.3233,48.7092,"{""type"":""Point"",""coordinates"":[48.70920181274414,-18.323299407958984]}"
00000000000000001d09,1168.5,489.5,215.0,348.0,210.0,2375.5,NBRXQT,-18.3233,48.7092,"{""type"":""Point"",""coordinates"":[48.70920181274414,-18.323299407958984]}"
00000000000000001d4f,1226.5,529.5,252.0,415.0,260.5,2432.0,EJ17UX,-18.2949,48.7098,"{""type"":""Point"",""coordinates"":[48.709800720214844,-18.29490089416504]}"
00000000000000001d60,1220.5,512.5,211.0,368.0,228.0,2692.0,AQWOSF,-18.2787,48.7098,"{""type"":""Point"",""coordinates"":[48.709800720214844,-18.27869987487793]}"
00000000000000001d75,1452.0,588.5,248.5,437.5,273.0,3194.5,NV5UO6,-18.2742,48.7098,"{""type"":""Point"",""coordinates"":[48.709800720214844,-18.27420043945313]}"
00000000000000001d77,1303.0,544.0,173.5,349.5,196.5,2757.5,LSV43W,-18.2724,48.7098,"{""type"":""Point"",""coordinates"":[48.709800720214844,-18.272399902343754]}"
00000000000000001d78,1303.0,544.0,173.5,349.5,196.5,2757.5,T9JZS6,-18.2724,48.7098,"{""type"":""Point"",""coordinates"":[48.709800720214844,-18.272399902343754]}"
00000000000000001d03,1277.5,577.0,267.5,397.5,239.0,2501.5,GRCVJZ,-18.3362,48.71,"{""type"":""Point"",""coordinates"":[48.709999084472656,-18.336200714111328]}"
00000000000000001d04,1277.5,577.0,267.5,397.5,239.0,2501.5,1R8J7C,-18.3362,48.71,"{""type"":""Point"",""coordinates"":[48.709999084472656,-18.336200714111328]}"
00000000000000001d4c,1385.5,586.5,292.5,497.5,267.0,3466.5,NM3O2O,-18.2959,48.7105,"{""type"":""Point"",""coordinates"":[48.710498809814446,-18.295900344848633]}"
